name,position,age,club,nation,appearances,goals,assists
Pontus Almqvist,"FW,MF",25.0,Parma,se SWE,25,1,1
Marcos Alonso,DF,34.0,Celta Vigo,es ESP,21,1,0
Giorgio Altare,DF,26.0,Venezia,it ITA,12,0,0
Adrià Altimira,"DF,FW",23.0,Leganés,es ESP,15,0,0
Sergi Altimira,MF,23.0,Betis,es ESP,23,0,1
Edson Álvarez,MF,27.0,West Ham,mx MEX,22,0,1
Hugo Álvarez,"MF,DF",21.0,Celta Vigo,es ESP,22,4,2
Julián Álvarez,"FW,MF",25.0,Atlético Madrid,ar ARG,27,10,2
Yeray Álvarez,DF,30.0,Athletic Club,es ESP,16,0,0
Skelly Alvero,MF,22.0,Werder Bremen,fr FRA,12,0,0
Will Alves,FW,20.0,Leicester City,eng ENG,1,0,0
Selim Amallah,MF,28.0,Valladolid,ma MAR,18,3,1
Amath,"FW,DF",28.0,Valladolid,sn SEN,9,0,1
Jordan Amavi,DF,31.0,Brest,fr FRA,11,0,0
Aurele Amenda,DF,21.0,Eint Frankfurt,ch SUI,4,0,0
Kelvin Amian,DF,27.0,Nantes,fr FRA,22,1,0
Michael Amir Murillo,DF,29.0,Marseille,pa PAN,23,1,2
Nadiem Amiri,MF,28.0,Mainz 05,de GER,22,6,3
Samuel Amo-Ameyaw,"FW,DF",18.0,Southampton,eng ENG,2,0,0
Mathis Amougou,MF,19.0,Chelsea,fr FRA,1,0,0
Mathis Amougou,MF,19.0,Saint-Étienne,fr FRA,17,0,0
Mohamed Amoura,FW,24.0,Wolfsburg,dz ALG,23,10,8
Sofyan Amrabat,MF,28.0,Fiorentina,ma MAR,2,0,0
Joachim Andersen,DF,28.0,Crystal Palace,dk DEN,1,0,0
Joachim Andersen,DF,28.0,Fulham,dk DEN,19,0,0
Elliot Anderson,MF,22.0,Nott'ham Forest,eng ENG,27,1,5
André,MF,23.0,Wolves,br BRA,23,0,0
Benjamin André,MF,34.0,Lille,fr FRA,22,0,1
Marcos André,FW,28.0,Valladolid,br BRA,19,1,2
Robert Andrich,MF,30.0,Leverkusen,de GER,17,2,1
Angeliño,DF,28.0,Roma,es ESP,28,2,1
Lorenzo Anghelè,FW,20.0,Juventus,it ITA,1,0,0
Faustino Anjorin,MF,23.0,Empoli,eng ENG,17,0,3
Waldemar Anton,DF,28.0,Dortmund,de GER,17,0,2
Leandro Antonetti,FW,22.0,Sevilla,pr PUR,1,0,0
Michail Antonio,FW,34.0,West Ham,jm JAM,14,1,1
Antoniu,"MF,FW",22.0,Espanyol,es ESP,14,0,1
Antony,"DF,MF",25.0,Manchester Utd,br BRA,8,0,0
Antony,FW,25.0,Betis,br BRA,6,2,2
Anuar,"FW,MF",30.0,Valladolid,ma MAR,17,2,0
Dennis Appiah,DF,32.0,Saint-Étienne,fr FRA,22,0,1
Aritz Arambarri,DF,27.0,Leganés,es ESP,2,0,0
Mauro Arambarri,MF,29.0,Getafe,uy URU,25,8,0
Jon Aramburu,DF,22.0,Real Sociedad,ve VEN,24,0,1
Julian Araujo,DF,23.0,Bournemouth,mx MEX,8,0,0
Ronald Araújo,DF,26.0,Barcelona,uy URU,4,1,1
Cameron Archer,FW,23.0,Southampton,eng ENG,25,2,0
Carlens Arcus,DF,28.0,Angers,ht HAI,21,0,1
Alphonse Areola,GK,32.0,West Ham,fr FRA,16,0,0
Adu Ares,FW,23.0,Athletic Club,es ESP,1,0,0
Jesús Areso,DF,25.0,Osasuna,es ESP,24,0,2
David Argüelles,MF,23.0,Getafe,es ESP,1,0,0
Joe Aribo,"MF,DF",28.0,Southampton,ng NGA,27,3,0
Adam Armstrong,"FW,MF",28.0,Southampton,eng ENG,20,2,2
Harrison Armstrong,MF,18.0,Everton,eng ENG,3,0,0
José Arnaiz,"FW,MF",29.0,Osasuna,es ESP,8,0,0
Hákon Arnar Haraldsson,"MF,FW",21.0,Lille,is ISL,17,4,2
Marko Arnautović,FW,35.0,Inter,at AUT,10,2,1
Maximilian Arnold,MF,30.0,Wolfsburg,de GER,21,2,4
Jann-Fiete Arp,"FW,MF",25.0,Holstein Kiel,de GER,19,2,0
Sergio Arribas,DF,22.0,Betis,es ESP,1,0,0
Kepa Arrizabalaga,GK,30.0,Bournemouth,es ESP,21,0,0
Arthur,"DF,FW",21.0,Leverkusen,br BRA,12,0,1
Takuma Asano,"FW,MF",30.0,Mallorca,jp JPN,16,1,0
Raúl Asencio,DF,22.0,Real Madrid,es ESP,14,0,1
Marco Asensio,"MF,FW",29.0,Aston Villa,es ESP,4,2,0
Marco Asensio,"FW,MF",29.0,Paris S-G,es ESP,12,2,4
Kristjan Asllani,MF,23.0,Inter,al ALB,15,0,2
Iago Aspas,"FW,MF",37.0,Celta Vigo,es ESP,20,8,3
Yaser Asprilla,"FW,MF",21.0,Girona,co COL,17,2,0
Lorenz Assignon,"DF,MF",24.0,Rennes,tg TOG,23,2,4
Dehmaine Assoumani,"MF,FW",19.0,Nantes,fr FRA,9,0,0
Valentin Atangana Edoa,MF,19.0,Reims,fr FRA,25,0,0
Arthur Atta,"MF,FW",22.0,Udinese,fr FRA,17,0,1
Noah Atubolu,GK,22.0,Freiburg,de GER,22,0,0
Emil Audero,GK,28.0,Como,it ITA,8,0,0
Tommaso Augello,"DF,FW",30.0,Cagliari,it ITA,28,0,4
Carlos Augusto,"DF,FW",26.0,Inter,br BRA,19,2,1
Yann Aurel Bisseck,DF,24.0,Inter,de GER,17,1,2
Brandon Austin,GK,26.0,Tottenham,eng ENG,1,0,0
Ezequiel Ávila,FW,31.0,Betis,ar ARG,18,2,0
Taiwo Awoniyi,FW,27.0,Nott'ham Forest,ng NGA,21,1,0
Yasin Ayari,MF,21.0,Brighton,se SWE,24,0,1
Florian Ayé,FW,28.0,Auxerre,fr FRA,17,0,0
André Ayew,FW,35.0,Le Havre,gh GHA,18,4,1
Jordan Ayew,"FW,MF",33.0,Crystal Palace,gh GHA,1,0,0
Jordan Ayew,"FW,MF",33.0,Leicester City,gh GHA,23,4,0
Neil El Aynaoui,MF,23.0,Lens,fr FRA,16,4,0
Ayman Azhil,MF,23.0,Dortmund,ma MAR,1,0,0
Adam Aznou,"DF,MF",18.0,Valladolid,ma MAR,4,0,0
Adam Aznou,DF,18.0,Bayern Munich,ma MAR,2,0,0
César Azpilicueta,DF,35.0,Atlético Madrid,es ESP,8,0,0
Paulo Azzi,DF,30.0,Cagliari,br BRA,6,0,0
Oussama El Azzouzi,MF,23.0,Bologna,ma MAR,1,0,0
Papa Ba,MF,20.0,Girona,es ESP,1,0,0
Shavy Babicka,"MF,FW",24.0,Toulouse,ga GAB,24,4,2
Jacopo Bacci,MF,19.0,Empoli,it ITA,2,0,0
Aliou Badara Baldé,"MF,FW",22.0,Bochum,gn GUI,5,0,0
Loïc Bade,DF,24.0,Sevilla,fr FRA,22,1,1
Milan Badelj,MF,36.0,Genoa,hr CRO,21,1,0
Benoît Badiashile,DF,23.0,Chelsea,fr FRA,4,0,0
Alex Baena,"MF,FW",23.0,Villarreal,es ESP,24,6,7
Juma Bah,DF,18.0,Valladolid,sl SLE,12,0,0
Juma Bah,DF,18.0,Lens,sl SLE,3,0,0
Leon Bailey,"FW,MF",27.0,Aston Villa,jm JAM,23,1,2
Eric Bailly,DF,30.0,Villarreal,ci CIV,10,0,0
Theo Bair,FW,25.0,Auxerre,ca CAN,22,2,1
Stefan Bajcetic,"MF,DF",20.0,Las Palmas,es ESP,6,1,0
Cédric Bakambu,FW,33.0,Betis,cd COD,17,1,2
Mitchel Bakker,MF,24.0,Atalanta,nl NED,1,0,0
Mitchel Bakker,"DF,FW",24.0,Lille,nl NED,17,2,2
Darryl Bakola,DF,17.0,Marseille,fr FRA,1,0,0
Ridle Baku,"FW,MF",26.0,Wolfsburg,de GER,15,2,1
Ridle Baku,"DF,MF",26.0,RB Leipzig,de GER,10,0,0
Dilane Bakwa,"MF,DF",22.0,Strasbourg,fr FRA,22,3,7
Tommaso Baldanzi,"MF,FW",21.0,Roma,it ITA,21,1,1
Alejandro Balde,DF,21.0,Barcelona,es ESP,23,0,3
