name,position,age,club,nation,appearances,goals,assists
Alessandro Buongiorno,DF,25.0,Napoli,it ITA,19,1,0
Cameron Burgess,DF,29.0,Ipswich Town,au AUS,10,0,1
Jonathan Burkardt,FW,24.0,Mainz 05,de GER,21,14,2
Oliver Burke,"FW,MF",27.0,Werder Bremen,sct SCO,17,2,0
Dan Burn,DF,32.0,Newcastle Utd,eng ENG,26,0,0
Rareș-Cătălin Burnete,FW,21.0,Lecce,ro ROU,2,0,0
Wes Burns,"FW,DF",30.0,Ipswich Town,wls WAL,18,0,1
Marnon Busch,DF,30.0,Heidenheim,de GER,15,0,1
Gianluca Busio,MF,22.0,Venezia,us USA,24,1,0
Aurélio Buta,DF,28.0,Reims,pt POR,20,0,1
Jean Butez,GK,29.0,Como,fr FRA,10,0,0
Marcin Bułka,GK,25.0,Nice,pl POL,25,0,0
Pau Cabanes,"MF,FW",20.0,Villarreal,es ESP,10,1,0
Pau Cabanes,MF,20.0,Alavés,es ESP,3,0,0
Rémy Cabella,"FW,MF",35.0,Lille,fr FRA,20,0,2
Leandro Cabrera,DF,33.0,Espanyol,uy URU,21,2,1
Liberato Cacace,"DF,MF",24.0,Empoli,nz NZL,24,2,2
Anthony Caci,DF,27.0,Mainz 05,fr FRA,24,1,5
Mathieu Cafaro,"MF,FW",27.0,Saint-Étienne,fr FRA,15,1,0
Moisés Caicedo,MF,23.0,Chelsea,ec ECU,28,1,2
Tom Cairney,MF,34.0,Fulham,sct SCO,18,1,0
Jens Cajuste,MF,25.0,Ipswich Town,se SWE,21,0,0
Davide Calabria,DF,28.0,Bologna,it ITA,5,0,1
Davide Calabria,DF,28.0,Milan,it ITA,7,0,0
Riccardo Calafiori,DF,22.0,Arsenal,it ITA,17,2,1
Luca Caldirola,DF,34.0,Monza,it ITA,7,0,0
Fernando Calero,"DF,MF",29.0,Espanyol,es ESP,10,1,0
Duje Ćaleta-Car,DF,28.0,Lyon,hr CRO,15,1,0
Hakan Çalhanoğlu,MF,31.0,Inter,tr TUR,20,5,3
Dominic Calvert-Lewin,FW,27.0,Everton,eng ENG,22,3,1
Drissa Camara,"MF,FW",23.0,Parma,ci CIV,17,0,0
Issiaga Camara,MF,20.0,Nice,gn GUI,4,0,0
Lamine Camara,MF,21.0,Monaco,sn SEN,21,2,6
Mahdi Camara,"MF,FW",26.0,Brest,fr FRA,25,3,2
Francesco Camarda,"FW,MF",17.0,Milan,it ITA,9,0,0
Eduardo Camavinga,"MF,DF",22.0,Real Madrid,fr FRA,13,0,2
Nicolò Cambiaghi,FW,24.0,Bologna,it ITA,8,1,2
Andrea Cambiaso,"DF,FW",25.0,Juventus,it ITA,25,2,1
Axel Camblan,"MF,FW",21.0,Brest,fr FRA,2,0,0
Sergio Camello,FW,24.0,Rayo Vallecano,es ESP,23,3,2
José Campaña,MF,31.0,Las Palmas,es ESP,17,0,2
Thomas Campaniello,FW,17.0,Empoli,it ITA,2,0,0
Cole Campbell,"MF,FW",19.0,Dortmund,us USA,4,0,0
Emre Can,"DF,MF",31.0,Dortmund,de GER,22,2,0
Peio Canales,"MF,FW",20.0,Athletic Club,es ESP,5,0,0
Matteo Cancellieri,"FW,MF",23.0,Parma,it ITA,26,3,0
Fali Candé,DF,27.0,Venezia,gw GNB,7,0,1
Antonio Candela,DF,24.0,Venezia,it ITA,14,0,1
Antonio Candela,DF,24.0,Valladolid,it ITA,4,0,0
Sergi Canós,"MF,FW",28.0,Valencia,es ESP,16,0,1
Jaydee Canvot,"DF,MF",18.0,Toulouse,fr FRA,12,0,0
Pierrick Capelle,MF,37.0,Angers,fr FRA,14,0,0
Gianluca Caprari,"MF,FW",31.0,Monza,it ITA,24,2,1
Elia Caprile,GK,23.0,Cagliari,it ITA,9,0,0
Elia Caprile,GK,23.0,Napoli,it ITA,4,0,0
Gabin Capuano,FW,18.0,Lens,fr FRA,1,0,0
Francesco Caputo,FW,37.0,Empoli,it ITA,1,0,0
Maxence Caqueret,MF,25.0,Como,fr FRA,8,0,2
Maxence Caqueret,MF,25.0,Lyon,fr FRA,9,0,0
Simon Cara,MF,19.0,Montpellier,fr FRA,1,0,0
Andrea Carboni,DF,24.0,Monza,it ITA,20,0,1
Franco Carboni,DF,21.0,Venezia,it ITA,7,0,0
Valentin Carboni,"MF,FW",20.0,Marseille,ar ARG,4,0,0
Cárdenas,GK,27.0,Rayo Vallecano,es ESP,5,0,0
Irvin Cardona,"FW,MF",27.0,Espanyol,fr FRA,16,1,1
Irvin Cardona,FW,27.0,Saint-Étienne,fr FRA,6,2,1
Marc Cardona,FW,29.0,Las Palmas,es ESP,8,0,0
Sergi Cardona,DF,25.0,Villarreal,es ESP,25,1,6
Johnny Cardoso,MF,23.0,Betis,us USA,20,1,1
Tiago Cardoso,GK,18.0,Gladbach,lu LUX,1,0,0
Patrik Carlgren,GK,33.0,Nantes,se SWE,3,0,0
Diego Carlos,DF,31.0,Aston Villa,br BRA,10,0,0
Carmona,DF,23.0,Sevilla,es ESP,25,0,0
Marco Carnesecchi,GK,24.0,Atalanta,it ITA,25,0,0
Sergio Carreira,"MF,DF",24.0,Celta Vigo,es ESP,14,0,3
Dani Carvajal,DF,33.0,Real Madrid,es ESP,8,1,0
Fabio Carvalho,"FW,MF",22.0,Brentford,pt POR,19,2,1
William Carvalho,MF,32.0,Betis,pt POR,4,0,0
Cesare Casadei,MF,22.0,Torino,it ITA,5,1,1
Marc Casado,MF,21.0,Barcelona,es ESP,22,1,3
Nicolò Casale,DF,27.0,Bologna,it ITA,11,0,0
Nicolò Casale,DF,27.0,Lazio,it ITA,2,0,0
Casemiro,MF,33.0,Manchester Utd,br BRA,18,1,0
Kaelan Casey,DF,20.0,West Ham,eng ENG,1,0,0
Matty Cash,"DF,FW",27.0,Aston Villa,pl POL,19,1,1
Josué Casimir,"MF,FW",23.0,Le Havre,fr FRA,18,2,2
Federico Cassa,"MF,FW",19.0,Atalanta,it ITA,2,0,0
Cristian Cásseres Jr.,MF,25.0,Toulouse,ve VEN,23,1,2
Timothy Castagne,DF,29.0,Fulham,be BEL,18,0,1
Valentín Castellanos,FW,26.0,Lazio,ar ARG,22,9,3
Jean-Charles Castelletto,"DF,MF",30.0,Nantes,cm CMR,23,0,0
Santiago Castro,FW,20.0,Bologna,ar ARG,28,7,4
Gaetano Castrovilli,"MF,FW",28.0,Monza,it ITA,4,0,0
Gaetano Castrovilli,"MF,FW",28.0,Lazio,it ITA,9,0,0
Danilo Cataldi,MF,30.0,Fiorentina,it ITA,19,3,0
Catena,DF,30.0,Osasuna,es ESP,24,0,1
Maximiliano Caufriez,DF,28.0,Valencia,be BEL,1,0,0
Dani Ceballos,MF,28.0,Real Madrid,es ESP,15,0,0
Abdoulie Ceesay,FW,21.0,St. Pauli,gm GAM,6,0,0
Zeki Çelik,DF,28.0,Roma,tr TUR,23,0,2
Fabien Centonze,DF,29.0,Nantes,fr FRA,2,0,0
Alberto Cerri,FW,28.0,Como,it ITA,5,0,0
Franco Cervi,"FW,MF",30.0,Celta Vigo,ar ARG,6,0,0
Julian Chabot,DF,27.0,Stuttgart,de GER,22,1,1
El Chadaille Bitshiabu,DF,19.0,RB Leipzig,fr FRA,14,0,0
Fares Chaïbi,"MF,FW",22.0,Eint Frankfurt,dz ALG,17,1,0
Trevoh Chalobah,DF,25.0,Crystal Palace,eng ENG,12,3,0
Trevoh Chalobah,DF,25.0,Chelsea,eng ENG,6,0,1
Timothy Chandler,DF,34.0,Eint Frankfurt,us USA,2,0,0
Conor Chaplin,"MF,FW",28.0,Ipswich Town,eng ENG,15,1,1
Brendan Chardonnet,DF,30.0,Brest,fr FRA,22,1,0
Gabriel Charpentier,FW,25.0,Parma,cg CGO,10,1,2
Raúl Chasco,DF,21.0,Valladolid,es ESP,2,0,0
Anrie Chase,DF,20.0,Stuttgart,jp JPN,12,0,0
Pep Chavarría,DF,26.0,Rayo Vallecano,es ESP,23,0,1
Arthur Chaves,DF,24.0,Hoffenheim,br BRA,18,0,0
Jhoanner Chávez,"DF,MF",22.0,Lens,ec ECU,10,1,0
Walid Cheddira,FW,27.0,Napoli,ma MAR,1,0,0
Walid Cheddira,FW,27.0,Espanyol,ma MAR,17,1,1
Chema,MF,19.0,Real Madrid,es ESP,1,0,0
Théo Chennahi,"MF,DF",20.0,Montpellier,fr FRA,2,0,0
Sidiki Cherif,FW,18.0,Angers,fr FRA,7,0,0
Rayan Cherki,"FW,MF",21.0,Lyon,fr FRA,21,6,9
Lucas Chevalier,GK,23.0,Lille,fr FRA,25,0,0
Fabio Chiarodia,DF,19.0,Gladbach,it ITA,10,0,0
Julián Chicco,MF,27.0,Leganés,ar ARG,11,0,0
Leandro Chichizola,GK,34.0,Parma,ar ARG,1,0,0
Federico Chiesa,FW,27.0,Liverpool,it ITA,3,0,0
Ben Chilwell,"DF,MF",28.0,Crystal Palace,eng ENG,3,0,0
Chiquinho,MF,25.0,Wolves,pt POR,1,0,0
Chiquinho,"MF,FW",25.0,Mallorca,pt POR,8,0,0
Pedro Chirivella,MF,27.0,Nantes,es ESP,23,0,2
Joris Chotard,MF,23.0,Montpellier,fr FRA,17,1,0
Hamza Choudhury,"MF,DF",27.0,Leicester City,eng ENG,4,0,0
Andreas Christensen,DF,28.0,Barcelona,dk DEN,1,0,0
Ryan Christie,MF,30.0,Bournemouth,sct SCO,27,2,3
Carney Chukwuemeka,"MF,FW",21.0,Dortmund,eng ENG,2,0,0
Samuel Chukwueze,"FW,MF",25.0,Milan,ng NGA,21,3,0
Aaron Ciammaglichella,MF,20.0,Torino,it ITA,1,0,0
Jasper Cillessen,GK,35.0,Las Palmas,nl NED,25,0,0
Alessandro Circati,DF,21.0,Parma,au AUS,4,0,0
Pathé Ciss,MF,30.0,Rayo Vallecano,sn SEN,23,2,1
Alphadjo Cissè,"FW,MF",18.0,Hellas Verona,it ITA,2,0,0
Djaoui Cissé,MF,21.0,Rennes,fr FRA,5,1,0
Seydouba Cissé,MF,24.0,Leganés,gn GUI,24,2,0
Yoann Cissé,MF,20.0,Auxerre,fr FRA,1,0,0
Patrick Ciurria,"MF,DF",30.0,Monza,it ITA,11,1,1
Harry Clarke,DF,24.0,Ipswich Town,eng ENG,7,0,0
Jack Clarke,"FW,MF",24.0,Ipswich Town,eng ENG,23,0,3
Alexis Claude-Maurice,"MF,FW",26.0,Augsburg,fr FRA,19,9,1
Jonathan Clauss,"DF,MF",32.0,Nice,fr FRA,20,3,4
Silvi Clúa,MF,20.0,Girona,es ESP,4,0,0
Nathaniel Clyne,"DF,MF",33.0,Crystal Palace,eng ENG,11,0,0
Conor Coady,DF,32.0,Leicester City,eng ENG,12,0,0
Marcus Coco,DF,28.0,Nantes,fr FRA,16,0,1
Saúl Coco,DF,26.0,Torino,gq EQG,26,2,0
Séamus Coleman,DF,36.0,Everton,ie IRL,3,0,0
Nathan Collins,DF,23.0,Brentford,ie IRL,28,2,1
Nnamdi Collins,DF,21.0,Eint Frankfurt,de GER,16,1,1
Toby Collyer,MF,21.0,Manchester Utd,eng ENG,5,0,0
Lorenzo Colombo,"FW,MF",23.0,Empoli,it ITA,28,5,2
Andrea Colpani,"FW,MF",25.0,Fiorentina,it ITA,22,2,1
Levi Colwill,DF,22.0,Chelsea,eng ENG,26,1,1
Florinel Coman,"FW,MF",26.0,Cagliari,ro ROU,5,1,0
Kingsley Coman,FW,28.0,Bayern Munich,fr FRA,22,4,4
Eray Cömert,"DF,MF",27.0,Valladolid,ch SUI,18,0,0
Santi Comesaña,MF,28.0,Villarreal,es ESP,24,3,2
Pietro Comuzzo,DF,20.0,Fiorentina,it ITA,24,0,0
Francisco Conceição,FW,22.0,Juventus,pt POR,18,3,3
Diego Conde,GK,26.0,Villarreal,es ESP,20,0,1
Tomás Conechny,"FW,MF",26.0,Alavés,ar ARG,14,1,0
Alois Confais,MF,28.0,Le Havre,fr FRA,1,0,0
Sirlord Conteh,"FW,MF",28.0,Heidenheim,de GER,23,0,1
Lewis Cook,"MF,DF",28.0,Bournemouth,eng ENG,27,1,3
Copete,DF,25.0,Mallorca,es ESP,18,0,0
Diego Coppola,DF,21.0,Hellas Verona,it ITA,25,1,0
Francis Coquelin,"MF,FW",33.0,Nantes,fr FRA,2,0,1
Iker Córdoba,DF,19.0,Valencia,es ESP,2,0,0
Derek Cornelius,DF,27.0,Marseille,ca CAN,16,0,0
Maxwel Cornet,FW,28.0,Southampton,ci CIV,2,0,0
Maxwel Cornet,"FW,MF",28.0,Genoa,ci CIV,6,2,1
Pierre Cornud,DF,28.0,Saint-Étienne,fr FRA,11,0,0
Ángel Correa,"FW,MF",30.0,Atlético Madrid,ar ARG,25,3,1
Joaquín Correa,"FW,MF",30.0,Inter,ar ARG,9,1,2
Thierry Correia,DF,26.0,Valencia,pt POR,11,0,0
Alberto costa,DF,21.0,Juventus,pt POR,2,0,0
Coba da Costa,"MF,FW",22.0,Getafe,es ESP,10,1,1
Danny da Costa,DF,31.0,Mainz 05,de GER,16,0,1
David Costa,"MF,FW",24.0,Lens,pt POR,11,0,0
Logan Costa,DF,23.0,Villarreal,cv CPV,20,2,0
Logan Costa,DF,23.0,Toulouse,cv CPV,1,0,0
Samu Costa,MF,24.0,Mallorca,pt POR,22,0,2
Grégoire Coudert,GK,25.0,Brest,fr FRA,1,0,0
Vladimír Coufal,DF,32.0,West Ham,cz CZE,15,0,0
Lassana Coulibaly,MF,28.0,Lecce,ml MLI,28,0,0
Lasso Coulibaly,"FW,MF",22.0,Auxerre,gh GHA,2,1,0
Mamadou Coulibaly,MF,20.0,Monaco,fr FRA,1,0,0
Soumaïla Coulibaly,DF,21.0,Brest,fr FRA,7,0,0
Tanguy Coulibaly,"FW,MF",24.0,Montpellier,fr FRA,16,2,0
Woyo Coulibaly,DF,25.0,Leicester City,fr FRA,4,0,0
Woyo Coulibaly,DF,25.0,Parma,fr FRA,14,0,1
Marius Courcoul,"DF,MF",18.0,Angers,fr FRA,3,0,0
Thibaut Courtois,GK,32.0,Real Madrid,be BEL,23,0,0
Yan Couto,DF,22.0,Dortmund,br BRA,17,0,0
Nicolas Cozza,DF,26.0,Nantes,fr FRA,20,1,0
Aaron Cresswell,DF,35.0,West Ham,eng ENG,12,0,0
Charlie Cresswell,DF,22.0,Toulouse,eng ENG,23,2,0
Bryan Cristante,MF,30.0,Roma,it ITA,20,2,1
Domen Črnigoj,MF,29.0,Venezia,si SVN,8,0,0
Juan Cruz Armada,DF,32.0,Osasuna,es ESP,17,0,0
Juan Cruz,"FW,DF",24.0,Leganés,es ESP,26,4,2
Juan Cuadrado,"DF,MF",36.0,Atalanta,co COL,16,0,2
Pau Cubarsí,DF,18.0,Barcelona,es ESP,26,0,3
Cucho,FW,25.0,Betis,co COL,4,0,0
Marc Cucurella,DF,26.0,Chelsea,es ESP,26,4,1
Jorge Cuenca,DF,25.0,Fulham,es ESP,5,0,0
Matheus Cunha,"MF,FW",25.0,Wolves,br BRA,26,13,4
Patrick Cutrone,FW,27.0,Como,it ITA,26,6,3
Tomáš Čvančara,"FW,MF",24.0,Gladbach,cz CZE,20,1,0
Wylan Cyprien,MF,30.0,Parma,fr FRA,2,0,0
Danilo D'Ambrosio,DF,36.0,Monza,it ITA,17,0,0
Lucas Da Cunha,MF,23.0,Como,fr FRA,26,2,1
Samuel Dahl,"DF,MF",25.0,Roma,se SWE,2,0,0
Finn Dahmen,GK,26.0,Augsburg,de GER,10,0,0
Thomas Dähne,GK,31.0,Holstein Kiel,de GER,1,0,0
Mahmoud Dahoud,MF,29.0,Eint Frankfurt,de GER,9,1,1
Patson Daka,"FW,MF",26.0,Leicester City,zm ZAM,15,1,0
Ameen Al-Dakhil,DF,23.0,Stuttgart,be BEL,5,0,0
Thijs Dallinga,"FW,MF",24.0,Bologna,nl NED,22,2,0
Diogo Dalot,DF,25.0,Manchester Utd,pt POR,27,0,1
Mikkel Damsgaard,"MF,FW",24.0,Brentford,dk DEN,28,2,10
Maat Daniel Caprini,FW,19.0,Fiorentina,it ITA,2,0,0
Flavius Daniliuc,DF,23.0,Hellas Verona,at AUT,16,0,0
Danilo,MF,23.0,Nott'ham Forest,br BRA,4,0,0
Danilo,DF,33.0,Juventus,br BRA,12,0,1
Arnaut Danjuma,FW,28.0,Villarreal,nl NED,3,2,0
Arnaut Danjuma,"FW,MF",28.0,Girona,nl NED,16,1,0
Jayden Danns,MF,19.0,Liverpool,eng ENG,1,0,0
Kévin Danois,MF,20.0,Auxerre,fr FRA,19,0,0
Kevin Danso,DF,26.0,Tottenham,at AUT,4,0,0
Kevin Danso,DF,26.0,Lens,at AUT,12,0,0
Dante,DF,41.0,Nice,br BRA,19,0,0
Pape Daouda Diongue,"MF,FW",,Strasbourg,sn SEN,8,1,0
Mohammed Daramy,FW,23.0,Reims,dk DEN,2,0,0
Bence Dárdai,MF,19.0,Wolfsburg,de GER,14,1,1
Sergi Darder,"MF,FW",31.0,Mallorca,es ESP,27,0,2
Matteo Darmian,DF,35.0,Inter,it ITA,21,2,2
Lukas Daschner,"MF,FW",26.0,Bochum,de GER,14,1,1
Juan David Cabal,DF,24.0,Juventus,co COL,7,0,0
Jonathan David,FW,25.0,Lille,ca CAN,23,14,3
Alphonso Davies,DF,24.0,Bayern Munich,ca CAN,18,1,2
Ben Davies,DF,31.0,Tottenham,wls WAL,8,0,0
Keinan Davis,FW,27.0,Udinese,eng ENG,15,2,1
Leif Davis,DF,25.0,Ipswich Town,eng ENG,27,1,2
Zuriko Davitashvili,"FW,MF",24.0,Saint-Étienne,ge GEO,24,7,4
Paweł Dawidowicz,DF,29.0,Hellas Verona,pl POL,19,0,0
Craig Dawson,DF,34.0,Wolves,eng ENG,15,0,0
Kevin De Bruyne,MF,33.0,Manchester City,be BEL,19,2,6
Charles De Ketelaere,"MF,FW",24.0,Atalanta,be BEL,27,5,5
Rodrigo De Paul,MF,30.0,Atlético Madrid,ar ARG,25,3,3
Théo De Percin,GK,24.0,Auxerre,mq MTQ,2,0,0
Mattia De Sciglio,DF,32.0,Empoli,it ITA,15,1,0
Lorenzo De Silvestri,DF,36.0,Bologna,it ITA,14,1,0
Thibault De Smet,DF,26.0,Reims,be BEL,5,0,0
Koni De Winter,DF,22.0,Genoa,be BEL,16,3,0
Amar Dedić,"DF,FW",22.0,Marseille,ba BIH,5,0,1
Alessandro Deiola,MF,29.0,Cagliari,it ITA,21,0,1
Romain Del Castillo,FW,28.0,Brest,fr FRA,18,5,3
Enrico Del Prato,DF,25.0,Parma,it ITA,24,4,0
Liam Delap,FW,22.0,Ipswich Town,eng ENG,27,10,2
Fisayo Dele-Bashiru,"MF,FW",24.0,Lazio,ng NGA,16,3,0
Andy Delort,FW,33.0,Montpellier,dz ALG,6,0,0
Olivier Deman,DF,24.0,Werder Bremen,be BEL,9,0,0
Ali Dembélé,DF,21.0,Torino,fr FRA,10,0,0
Ousmane Dembélé,FW,27.0,Paris S-G,fr FRA,23,20,5
Ermedin Demirović,FW,26.0,Stuttgart,ba BIH,25,9,0
Sepp van den Berg,DF,23.0,Brentford,nl NED,21,0,0
Arthur Desmas,GK,30.0,Le Havre,fr FRA,17,0,0
Justin Devenny,MF,21.0,Crystal Palace,nir NIR,14,1,0
Kiernan Dewsbury-Hall,MF,26.0,Chelsea,eng ENG,8,0,1
Michele Di Gregorio,GK,27.0,Juventus,it ITA,23,0,0
Giovanni Di Lorenzo,DF,31.0,Napoli,it ITA,28,3,1
Boulaye Dia,"MF,FW",28.0,Lazio,sn SEN,24,7,3
Mouctar Diakhaby,DF,28.0,Valencia,gn GUI,4,1,0
Mamadou Diakhon,"FW,MF",19.0,Reims,fr FRA,21,1,0
Bafodé Diakité,DF,24.0,Lille,fr FRA,24,3,1
Oumar Diakité,FW,21.0,Reims,ci CIV,23,4,1
Amad Diallo,"FW,MF",22.0,Manchester Utd,ci CIV,22,6,6
Assane Diao,"FW,MF",19.0,Como,es ESP,10,5,0
Assane Diao,FW,19.0,Betis,es ESP,10,1,2
Habib Diarra,"MF,FW",21.0,Strasbourg,sn SEN,23,4,3
Moussa Diarra,DF,24.0,Alavés,ml MLI,22,0,0
Rúben Dias,DF,27.0,Manchester City,pt POR,17,0,0
Krépin Diatta,DF,26.0,Monaco,sn SEN,12,0,0
Kandet Diawara,FW,25.0,Le Havre,gn GUI,1,0,0
Mahamadou Diawara,MF,20.0,Le Havre,fr FRA,7,0,1
Mahamadou Diawara,MF,20.0,Lyon,fr FRA,2,0,0
Brahim Díaz,"FW,MF",25.0,Real Madrid,ma MAR,22,4,2
Luis Díaz,FW,28.0,Liverpool,co COL,28,9,4
Pedro Díaz,MF,26.0,Rayo Vallecano,es ESP,15,1,0
Tyler Dibling,"FW,MF",18.0,Southampton,eng ENG,24,2,0
Diego,"FW,MF",24.0,Leganés,es ESP,18,2,0
Justin Diehl,"FW,DF",20.0,Stuttgart,de GER,6,1,0
Bamba Dieng,"FW,MF",24.0,Angers,sn SEN,15,3,0
Eric Dier,DF,31.0,Bayern Munich,eng ENG,12,0,1
Lucas Digne,DF,31.0,Aston Villa,fr FRA,28,0,4
Kembo Diliwidi,DF,19.0,Lens,fr FRA,1,0,0
Federico Dimarco,"DF,FW",27.0,Inter,it ITA,24,4,4
Stole Dimitrievski,GK,31.0,Valencia,mk MKD,4,0,0
Junior Dina Ebimbe,"MF,FW",24.0,Eint Frankfurt,fr FRA,7,0,1
Eren Dinkçi,"MF,FW",23.0,Freiburg,de GER,21,0,3
Sinaly Diomande,DF,23.0,Auxerre,ci CIV,15,3,2
Lois Diony,FW,32.0,Angers,fr FRA,1,0,0
Issa Diop,DF,28.0,Fulham,fr FRA,20,0,0
Sérigné Diop,FW,19.0,Brest,sn SEN,1,0,0
Sofiane Diop,"MF,FW",24.0,Nice,fr FRA,21,6,3
Andy Diouf,MF,21.0,Lens,fr FRA,25,1,1
Yehvann Diouf,GK,25.0,Reims,fr FRA,25,0,0
Assane Dioussé,MF,27.0,Auxerre,sn SEN,10,0,0
Axel Disasi,DF,26.0,Aston Villa,fr FRA,4,0,0
Axel Disasi,DF,26.0,Chelsea,fr FRA,6,1,0
Roman Dixon,DF,20.0,Everton,eng ENG,1,0,0
Álvaro djaló,FW,25.0,Athletic Club,es ESP,13,1,0
Djené,"DF,MF",33.0,Getafe,tg TOG,25,0,0
Nasser Djiga,DF,22.0,Wolves,bf BFA,1,0,0
Berat Djimsiti,DF,32.0,Atalanta,al ALB,25,1,2
Marko Dmitrović,GK,33.0,Leganés,rs SRB,21,0,0
Ritsu Doan,FW,26.0,Freiburg,jp JPN,25,8,4
Dodô,DF,26.0,Fiorentina,br BRA,27,0,3
Danilho Doekhi,DF,26.0,Union Berlin,nl NED,25,1,0
Matt Doherty,DF,33.0,Wolves,ie IRL,21,2,1
Jeremy Doku,"FW,MF",22.0,Manchester City,be BEL,19,3,4
Marc Domenech,FW,19.0,Mallorca,es ESP,3,0,0
Álex Domínguez,GK,26.0,Toulouse,es ESP,1,0,0
Benjamín Domínguez,FW,21.0,Bologna,ar ARG,16,3,2
Carlos Dominguez,DF,24.0,Celta Vigo,es ESP,12,0,0
Israel Domínguez,FW,21.0,Sevilla,es ESP,1,0,0
Nicolás Domínguez,"MF,FW",26.0,Nott'ham Forest,ar ARG,24,0,0
Sergi Dominguez,DF,19.0,Barcelona,es ESP,3,0,0
Gianluigi Donnarumma,GK,26.0,Paris S-G,it ITA,19,0,0
Patrick Dorgu,DF,20.0,Manchester Utd,dk DEN,3,0,0
Patrick Dorgu,"DF,FW",20.0,Lecce,dk DEN,21,3,1
Alfie Dorrington,DF,19.0,Tottenham,eng ENG,1,0,0
Niklas Dorsch,MF,27.0,Augsburg,de GER,1,0,0
Niklas Dorsch,MF,27.0,Heidenheim,de GER,14,2,2
Alberto Dossena,DF,26.0,Como,it ITA,22,0,2
Abdoulaye Doucouré,MF,32.0,Everton,ml MLI,24,2,1
Cheick Doucouré,MF,25.0,Crystal Palace,ml MLI,13,0,0
Désiré Doué,"FW,MF",19.0,Paris S-G,fr FRA,22,2,6
Guela Doué,DF,22.0,Strasbourg,ci CIV,24,1,0
Douglas,MF,28.0,Nantes,br BRA,20,2,2
Ismaël Doukouré,"MF,DF",21.0,Strasbourg,fr FRA,22,0,1
Issa Doumbia,MF,21.0,Venezia,ci CIV,15,0,0
Kamory Doumbia,MF,22.0,Brest,ml MLI,21,1,1
Amidou Doumbouya,DF,17.0,Nice,fr FRA,2,0,0
Anastasios Douvikas,FW,25.0,Como,gr GRE,4,0,0
Anastasios Douvikas,FW,25.0,Celta Vigo,gr GRE,20,3,1
Artem Dovbyk,FW,27.0,Roma,ua UKR,24,9,2
Flynn Downes,MF,26.0,Southampton,eng ENG,19,1,0
Tommy Doyle,MF,23.0,Wolves,eng ENG,23,0,1
Radu Drăgușin,DF,23.0,Tottenham,ro ROU,16,0,0
Patrick Drewes,GK,32.0,Bochum,de GER,21,0,0
Tim Drexler,DF,20.0,Hoffenheim,de GER,8,0,0
Domingos Duarte,DF,30.0,Getafe,pt POR,12,0,0
Martin Dúbravka,GK,36.0,Newcastle Utd,sk SVK,10,0,0
Marvin Ducksch,FW,31.0,Werder Bremen,de GER,23,6,7
Ondrej Duda,MF,30.0,Hellas Verona,sk SVK,19,0,2
Duk,"MF,FW",25.0,Leganés,cv CPV,4,0,0
Denzel Dumfries,"DF,FW",28.0,Inter,nl NED,24,6,2
Alfred Duncan,MF,32.0,Venezia,gh GHA,13,0,0
Lewis Dunk,DF,33.0,Brighton,eng ENG,19,0,0
Jáder Durán,FW,21.0,Aston Villa,co COL,20,7,0
Pablo Durán,"FW,MF",23.0,Celta Vigo,es ESP,17,4,2
Julien Duranville,"FW,MF",18.0,Dortmund,be BEL,10,0,0
Hugo Duro,FW,25.0,Valencia,es ESP,22,7,2
Jean-Kevin Duverne,DF,27.0,Nantes,ht HAI,9,0,0
Paulo Dybala,"FW,MF",31.0,Roma,ar ARG,23,6,3
Stefan Džodić,"DF,MF",19.0,Montpellier,rs SRB,5,0,0
Adam Dźwigała,"DF,MF",29.0,St. Pauli,pl POL,12,0,0
Aron Dønnum,"DF,MF",26.0,Toulouse,no NOR,24,1,2
Enzo Ebosse,DF,25.0,Udinese,cm CMR,2,0,0
Ederson,GK,31.0,Manchester City,br BRA,19,0,3
Éderson,MF,25.0,Atalanta,br BRA,28,3,1
Noah Edjouma,"MF,FW",19.0,Toulouse,fr FRA,5,2,0
George Edmundson,DF,27.0,Ipswich Town,eng ENG,1,0,0
Odsonne Édouard,"MF,FW",27.0,Crystal Palace,fr FRA,2,0,0
Odsonne Édouard,FW,27.0,Leicester City,fr FRA,4,0,0
Samuel Edozie,"DF,FW",22.0,Southampton,eng ENG,2,0,0
Ronnie Edwards,DF,21.0,Southampton,eng ENG,1,0,0
Johannes Eggestein,FW,26.0,St. Pauli,de GER,23,3,4
Maximilian Eggestein,MF,28.0,Freiburg,de GER,24,0,0
Kingsley Ehizibue,DF,29.0,Udinese,nl NED,24,0,1
Chidera Ejuke,FW,27.0,Sevilla,ng NGA,17,2,1
Jeff Ekhator,"FW,MF",18.0,Genoa,it ITA,19,1,1
Hugo Ekitike,FW,22.0,Eint Frankfurt,fr FRA,24,13,3
Jurgen Ekkelenkamp,MF,24.0,Udinese,nl NED,23,3,2
Jacques Ekomie,DF,21.0,Angers,ga GAB,11,0,0
Emmanuel Ekong,"MF,FW",22.0,Empoli,se SWE,15,0,0
Caleb Ekuban,FW,30.0,Genoa,gh GHA,13,1,3
Pierre Ekwah Elimby,MF,23.0,Saint-Étienne,fr FRA,20,1,0
Anthony Elanga,"FW,MF",22.0,Nott'ham Forest,se SWE,28,3,8
Meschak Elia,"FW,DF",27.0,Nantes,cd COD,5,1,0
Mikael Ellertsson,"DF,MF",22.0,Venezia,is ISL,27,2,1
